case_id,case_name,court_level,court_name,province,city,filing_date,decision_date,case_duration_days,case_type,charge_or_claim,verdict,fine_amount_zar,settlement_amount_zar,sentence_years,appealed,appeal_result
2001,,,,,,,,64,,,,3500,0,2,,
2002,,,,,,,,191,,,,0,85000,0,,
2003,,,,,,,,134,,,,7000,0,4,,
2004,,,,,,,,223,,,,0,120000,0,,
2005,,,,,,,,104,,,,5000,0,1,,
2006,,,,,,,,276,,,,0,0,0,,
2007,,,,,,,,172,,,,0,0,8,,
2008,,,,,,,,80,,,,0,60000,0,,
2009,,,,,,,,251,,,,0,0,20,,
2010,,,,,,,,44,,,,2500,0,1,,
2011,,,,,,,,205,,,,0,95000,0,,
2012,,,,,,,,168,,,,15000,0,5,,
2013,,,,,,,,223,,,,0,40000,0,,
2014,,,,,,,,76,,,,3000,0,2,,
2015,,,,,,,,315,,,,0,180000,0,,
2016,,,,,,,,220,,,,25000,0,10,,
2017,,,,,,,,128,,,,0,0,7,,
2018,,,,,,,,271,,,,0,350000,0,,
2019,,,,,,,,44,,,,0,0,0,,
2020,,,,,,,,351,,,,0,0,0,,
2021,,,,,,,,193,,,,12000,0,4,,
2022,,,,,,,,255,,,,0,90000,0,,
2023,,,,,,,,105,,,,20000,0,6,,
2024,,,,,,,,248,,,,0,70000,0,,
2025,,,,,,,,292,,,,0,0,12,,
